"path","p","p2","padj2"
"MEgreen",2.36310365675702e-05,6.23692222435362e-05,0.000436584555704754
"MEyellow",0.00414777214661076,0.00496059631441029,0.017362087100436
"MEgrey",0.0125547578356436,0.0130860076112319,0.030534017759541
"MEred",0.0570363527327493,0.34066599906717,0.596165498367547
"MEturquoise",0.571995647181988,0.430901049517254,0.603261469324155
"MEblue",0.536103599017348,0.586391527736476,0.684123449025889
"MEbrown",0.981579765629722,0.804556253337491,0.804556253337491
